Interpolated X1	Interpolated Y1
14.725	1.92784
14.75	1.9217
14.775	1.91557
14.8	1.90943
14.825	1.90329
14.85	1.89715
14.875	1.89101
14.9	1.88486
14.925	1.87871
14.95	1.87256
14.975	1.86641
15	1.86026
15.025	1.85411
15.05	1.84796
15.075	1.84181
15.1	1.83566
15.125	1.82951
15.15	1.82336
15.175	1.81721
15.2	1.81106
15.225	1.80489
15.25	1.79873
15.275	1.79257
15.3	1.7864
15.325	1.78024
15.35	1.77408
15.375	1.76792
15.4	1.76176
15.425	1.75561
15.45	1.74945
15.475	1.74329
15.5	1.73714
15.525	1.73097
15.55	1.7248
15.575	1.71862
15.6	1.71245
15.625	1.70627
15.65	1.7001
15.675	1.69392
15.7	1.68778
15.725	1.68164
15.75	1.67551
15.775	1.66938
15.8	1.66324
15.825	1.65711
15.85	1.65098
15.875	1.64484
15.9	1.63871
15.925	1.63257
15.95	1.62644
15.975	1.62031
16	1.61417
16.025	1.60804
16.05	1.60191
16.075	1.59577
16.1	1.58964
16.125	1.5835
16.15	1.57737
16.175	1.57124
16.2	1.5651
16.225	1.55897
16.25	1.55284
16.275	1.5467
16.3	1.54057
16.325	1.53443
16.35	1.52829
16.375	1.52215
16.4	1.516
16.425	1.50986
16.45	1.50372
16.475	1.49757
16.5	1.49145
16.525	1.48534
16.55	1.47922
16.575	1.4731
16.6	1.46699
16.625	1.46087
16.65	1.45475
16.675	1.44861
16.7	1.44247
16.725	1.43634
16.75	1.4302
16.775	1.42406
16.8	1.41793
16.825	1.41179
16.85	1.40565
16.875	1.39952
16.9	1.39338
16.925	1.38724
16.95	1.38111
16.975	1.37497
17	1.36883
17.025	1.3627
17.05	1.35656
17.075	1.35042
17.1	1.34428
17.125	1.33815
17.15	1.33201
17.175	1.32587
17.2	1.31974
17.225	1.3136
17.25	1.30746
17.275	1.30133
17.3	1.29519
17.325	1.28905
17.35	1.28292
17.375	1.27678
17.4	1.27064
17.425	1.26451
17.45	1.25837
17.475	1.25223
17.5	1.2461
17.525	1.23996
17.55	1.23382
17.575	1.22769
17.6	1.22155
17.625	1.21541
17.65	1.20927
17.675	1.20314
17.7	1.197
17.725	1.19086
17.75	1.18473
17.775	1.17869
17.8	1.17271
17.825	1.16673
17.85	1.16076
17.875	1.15478
17.9	1.14881
17.925	1.14284
17.95	1.13688
17.975	1.13092
18	1.12497
18.025	1.11901
18.05	1.11306
18.075	1.1071
18.1	1.10114
18.125	1.09517
18.15	1.08921
18.175	1.08325
18.2	1.07729
18.225	1.07132
18.25	1.06536
18.275	1.0594
18.3	1.05343
18.325	1.04747
18.35	1.04151
18.375	1.03554
18.4	1.02958
18.425	1.02362
18.45	1.01765
18.475	1.01169
18.5	1.00573
18.525	0.99976
18.55	0.9938
18.575	0.98784
18.6	0.98188
18.625	0.97591
18.65	0.96995
18.675	0.96399
18.7	0.95802
18.725	0.95206
18.75	0.9461
18.775	0.94013
18.8	0.93417
18.825	0.92821
18.85	0.92224
18.875	0.91628
18.9	0.91032
18.925	0.90435
18.95	0.89839
18.975	0.89243
19	0.88646
19.025	0.8805
19.05	0.87453
19.075	0.86855
19.1	0.86257
19.125	0.85659
19.15	0.85061
19.175	0.84463
19.2	0.83865
19.225	0.83267
19.25	0.82669
19.275	0.82071
19.3	0.81473
19.325	0.80875
19.35	0.80277
19.375	0.79677
19.4	0.79075
19.425	0.78473
19.45	0.77872
19.475	0.7727
19.5	0.76668
19.525	0.76067
19.55	0.75469
19.575	0.74871
19.6	0.74274
19.625	0.73676
19.65	0.73078
19.675	0.7248
19.7	0.71882
19.725	0.71284
19.75	0.70686
19.775	0.70088
19.8	0.6949
19.825	0.68892
19.85	0.68295
19.875	0.67699
19.9	0.67103
19.925	0.66507
19.95	0.65911
19.975	0.65315
20	0.64719
20.025	0.64143
20.05	0.63567
20.075	0.62992
20.1	0.62416
20.125	0.6184
20.15	0.61264
20.175	0.60689
20.2	0.60113
20.225	0.59537
20.25	0.58962
20.275	0.58386
20.3	0.5781
20.325	0.57234
20.35	0.56659
20.375	0.56083
20.4	0.55507
20.425	0.54932
20.45	0.54356
20.475	0.5378
20.5	0.53205
20.525	0.5263
20.55	0.52056
20.575	0.51481
20.6	0.50906
20.625	0.50331
20.65	0.49756
20.675	0.49179
20.7	0.48603
20.725	0.48026
20.75	0.4745
20.775	0.46874
20.8	0.46297
20.825	0.45725
20.85	0.45152
20.875	0.4458
20.9	0.44008
20.925	0.43435
20.95	0.42863
20.975	0.42301
21	0.41747
21.025	0.41193
21.05	0.40638
21.075	0.40084
21.1	0.3953
21.125	0.38976
21.15	0.38421
21.175	0.37867
21.2	0.37313
21.225	0.36758
21.25	0.36204
21.275	0.3565
21.3	0.35086
21.325	0.3452
21.35	0.33954
21.375	0.33388
21.4	0.32822
21.425	0.32255
21.45	0.31693
21.475	0.31136
21.5	0.30578
21.525	0.30021
21.55	0.29463
21.575	0.28906
21.6	0.28349
21.625	0.27791
21.65	0.27234
21.675	0.26677
21.7	0.26119
21.725	0.25562
21.75	0.25005
21.775	0.24447
21.8	0.2389
21.825	0.23333
21.85	0.22775
21.875	0.22218
21.9	0.21661
21.925	0.21103
21.95	0.20546
21.975	0.19989
22	0.19431
22.025	0.18874
22.05	0.18316
22.075	0.17759
22.1	0.1708
22.125	0.16371
22.15	0.15662
22.175	0.14953
22.2	0.14243
22.225	0.13534
22.25	0.12985
22.275	0.12675
22.3	0.12365
22.325	0.12056
22.35	0.11746
22.375	0.11436
22.4	0.11126
22.425	0.10817
22.45	0.10507
22.475	0.10197
22.5	0.09887
22.525	0.09577
22.55	0.09268
22.575	0.08958
22.6	0.08648
22.625	0.08338
22.65	0.08029
22.675	0.07719
22.7	0.07409
22.725	0.07099
22.75	0.0679
22.775	0.0648
22.8	0.0617
22.825	0.0586
22.85	0.05551
22.875	0.05241
22.9	0.04938
22.925	0.04637
22.95	0.04337
22.975	0.04036
23	0.03735
23.025	0.03434
23.05	0.03133
23.075	0.02833
23.1	0.02532
23.125	0.02231
23.15	0.0193
23.175	0.0163
23.2	0.01329
23.225	0.01028
23.25	0.00727
23.275	0.00426
23.3	0.00126
23.325	-0.00175
23.35	-0.00476
23.375	-0.00487
23.4	-0.00304
23.425	-0.00122
23.45	6.01526E-4
23.475	0.00242
23.5	0.00425
23.525	0.00567
23.55	0.00547
23.575	0.00527
23.6	0.00507
23.625	0.00488
23.65	0.00468
23.675	0.00448
23.7	0.0044
23.725	0.00435
23.75	0.00429
23.775	0.00424
23.8	0.00419
23.825	0.00413
23.85	0.00401
23.875	0.00379
23.9	0.00356
23.925	0.00334
23.95	0.00311
23.975	0.00289
24	0.00266
24.025	0.00244
24.05	0.00221
24.075	0.00199
24.1	0.00177
24.125	0.00154
24.15	0.00132
24.175	0.00109
24.2	8.6683E-4
24.225	6.42245E-4
24.25	4.17659E-4
24.275	1.93073E-4
24.3	-3.15125E-5
24.325	-2.56098E-4
24.35	-4.8068E-4
24.375	-7.05262E-4
24.4	-9.29845E-4
24.425	-0.00115
24.45	-0.00138
24.475	-0.0016
24.5	-0.00154
24.525	-0.00141
24.55	-0.00127
24.575	-0.00114
24.6	-0.001
24.625	-8.69847E-4
24.65	-7.91284E-4
24.675	-7.96226E-4
24.7	-8.01167E-4
24.725	-8.06109E-4
24.75	-8.11051E-4
24.775	-8.15993E-4
24.8	-8.20934E-4
24.825	-8.25876E-4
24.85	-8.30818E-4
24.875	-8.3576E-4
24.9	-8.40701E-4
24.925	-8.45643E-4
24.95	-8.50585E-4
24.975	-8.55527E-4
25	-8.60468E-4
25.025	-8.6541E-4
25.05	-8.70352E-4
25.075	-8.75294E-4
25.1	-8.80235E-4
25.125	-8.85177E-4
25.15	-8.90119E-4
25.175	-8.95061E-4
25.2	-9.00002E-4
25.225	-9.04944E-4
25.25	-9.09886E-4
25.275	-9.14828E-4
25.3	-9.17782E-4
25.325	-9.2024E-4
25.35	-9.22698E-4
25.375	-9.25156E-4
25.4	-9.27614E-4
25.425	-9.30071E-4
25.45	-9.33892E-4
25.475	-9.39754E-4
25.5	-9.45617E-4
25.525	-9.5148E-4
25.55	-9.57343E-4
25.575	-9.63206E-4
25.6	-9.69068E-4
25.625	-9.74931E-4
25.65	-9.80794E-4
25.675	-9.86656E-4
25.7	-9.92519E-4
25.725	-9.98382E-4
25.75	-0.001
25.775	-9.97765E-4
25.8	-9.83062E-4
25.825	-9.6836E-4
25.85	-9.53657E-4
25.875	-9.38954E-4
25.9	-9.24251E-4
25.925	-9.07296E-4
25.95	-8.81335E-4
25.975	-8.55374E-4
26	-8.29413E-4
26.025	-8.03452E-4
26.05	-7.77491E-4
26.075	-7.5153E-4
26.1	-7.25161E-4
26.125	-6.9869E-4
26.15	-6.72219E-4
26.175	-6.45747E-4
26.2	-6.19276E-4
26.225	-5.92805E-4
26.25	-5.66762E-4
26.275	-5.41363E-4
26.3	-5.15964E-4
26.325	-4.90565E-4
26.35	-4.65166E-4
26.375	-4.39767E-4
26.4	-4.14368E-4
26.425	-3.88969E-4
26.45	-3.6357E-4
26.475	-3.38171E-4
26.5	-3.12772E-4
26.525	-2.87373E-4
26.55	-2.61974E-4
26.575	-2.36575E-4
26.6	-2.11175E-4
26.625	-1.85776E-4
26.65	-1.60377E-4
26.675	-1.34978E-4
26.7	-1.09578E-4
26.725	-8.41791E-5
26.75	-5.87801E-5
26.775	-3.33811E-5
26.8	-7.98215E-6
26.825	1.74168E-5
26.85	4.28158E-5
26.875	6.82148E-5
26.9	5.05561E-5
26.925	2.2133E-5
26.95	-6.29011E-6
26.975	-3.47132E-5
27	-6.31363E-5
27.025	-9.15595E-5
27.05	-1.21297E-4
27.075	-1.53006E-4
27.1	-1.84716E-4
27.125	-2.16425E-4
27.15	-2.48135E-4
27.175	-2.79844E-4
27.2	-3.11554E-4
27.225	-3.43263E-4
27.25	-3.74973E-4
27.275	-4.06683E-4
27.3	-4.38392E-4
27.325	-4.70102E-4
27.35	-5.01811E-4
27.375	-5.33521E-4
27.4	-5.65231E-4
27.425	-5.9694E-4
27.45	-6.2865E-4
27.475	-6.6036E-4
27.5	-6.92069E-4
27.525	-7.23779E-4
27.55	-7.55489E-4
27.575	-7.87198E-4
27.6	-8.18908E-4
27.625	-8.50618E-4
27.65	-8.82327E-4
27.675	-9.14037E-4
27.7	-9.45747E-4
27.725	-9.77456E-4
27.75	-0.00101
27.775	-0.00104
27.8	-0.00107
27.825	-0.0011
27.85	-0.00114
27.875	-0.00117
27.9	-0.00121
27.925	-0.00124
27.95	-0.00127
27.975	-0.00131
28	-0.00134
28.025	-0.00137
28.05	-0.00141
28.075	-0.00144
28.1	-0.00147
28.125	-0.0015
28.15	-0.00153
28.175	-0.00158
28.2	-0.00163
28.225	-0.00169
28.25	-0.00174
28.275	-0.00179
28.3	-0.00185
28.325	-0.00189
28.35	-0.00186
28.375	-0.00184
28.4	-0.00181
28.425	-0.00179
28.45	-0.00176
28.475	-0.00174
28.5	-0.00172
28.525	-0.00169
28.55	-0.00167
28.575	-0.00164
28.6	-0.00162
28.625	-0.0016
28.65	-0.00157
28.675	-0.00155
28.7	-0.00152
28.725	-0.0015
28.75	-0.00147
28.775	-0.00145
28.8	-0.00142
28.825	-0.0014
28.85	-0.00137
28.875	-0.00135
28.9	-0.00132
28.925	-0.0013
28.95	-0.00127
28.975	-0.00125
29	-0.00122
29.025	-0.0012
29.05	-0.00117
29.075	-0.00115
29.1	-0.00112
29.125	-0.0011
29.15	-0.00107
29.175	-0.00105
29.2	-0.00102
29.225	-9.96392E-4
29.25	-9.71344E-4
29.275	-9.46296E-4
29.3	-8.68639E-4
29.325	-7.7783E-4
29.35	-6.8702E-4
29.375	-5.96211E-4
29.4	-5.05402E-4
29.425	-4.14593E-4
29.45	-3.5655E-4
29.475	-3.47638E-4
29.5	-3.38726E-4
29.525	-3.29814E-4
29.55	-3.20903E-4
29.575	-3.11991E-4
29.6	-3.03079E-4
29.625	-2.94167E-4
29.65	-2.85256E-4
29.675	-2.76344E-4
29.7	-2.67432E-4
29.725	-2.5852E-4
29.75	-2.49609E-4
29.775	-2.40697E-4
29.8	-2.31785E-4
29.825	-2.22873E-4
29.85	-2.13962E-4
29.875	-2.0505E-4
29.9	-1.96138E-4
29.925	-1.87226E-4
29.95	-1.78315E-4
29.975	-1.69403E-4
30	-1.60491E-4
30.025	-1.5158E-4
30.05	-1.42668E-4
30.075	-1.33756E-4
30.1	-1.24845E-4
30.125	-1.15933E-4
30.15	-1.07021E-4
30.175	-9.81093E-5
30.2	-8.91975E-5
30.225	-8.02858E-5
30.25	-7.14541E-5
30.275	-6.27425E-5
30.3	-5.40308E-5
30.325	-4.53192E-5
30.35	-3.66076E-5
30.375	-2.78959E-5
30.4	-1.91843E-5
30.425	-1.08421E-5
30.45	-2.49995E-6
30.475	5.84222E-6
30.5	1.41844E-5
30.525	2.25266E-5
30.55	3.08687E-5
30.575	2.93772E-5
30.6	2.13297E-5
30.625	1.32823E-5
30.65	5.23491E-6
30.675	-2.81251E-6
30.7	-1.08599E-5
30.725	-1.71975E-5
30.75	-1.6696E-5
30.775	-1.61945E-5
30.8	-1.56929E-5
30.825	-1.51914E-5
30.85	-1.46899E-5
30.875	-1.41883E-5
30.9	-1.42217E-5
30.925	-1.43888E-5
30.95	-1.45559E-5
30.975	-1.4723E-5
31	-1.48901E-5
31.025	-1.50573E-5
31.05	-1.49054E-5
31.075	-1.42752E-5
31.1	-1.36449E-5
31.125	-1.30147E-5
31.15	-1.23844E-5
31.175	-1.17542E-5
31.2	-1.1124E-5
31.225	-1.04937E-5
31.25	-9.86349E-6
31.275	-9.23326E-6
31.3	-8.60303E-6
31.325	-7.9728E-6
31.35	-7.34257E-6
31.375	-6.71233E-6
31.4	-6.08209E-6
31.425	-5.45184E-6
31.45	-4.8216E-6
31.475	-4.19135E-6
31.5	-3.56111E-6
31.525	-2.93086E-6
31.55	-2.30063E-6
31.575	-1.6704E-6
31.6	-1.04017E-6
31.625	-4.09943E-7
31.65	2.20287E-7
31.675	8.50518E-7
31.7	7.44317E-7
31.725	4.54009E-7
31.75	1.63701E-7
31.775	-1.26607E-7
31.8	-4.16915E-7
31.825	-7.07223E-7
31.85	-8.70189E-7
31.875	-8.42205E-7
31.9	-8.14221E-7
31.925	-7.86237E-7
31.95	-7.58253E-7
31.975	-7.30269E-7
32	-7.02285E-7
32.025	-6.74301E-7
32.05	-6.46317E-7
32.075	-6.18333E-7
32.1	-5.9035E-7
32.125	-5.62366E-7
32.15	-5.34382E-7
32.175	-5.06398E-7
32.2	-4.78414E-7
32.225	-4.50429E-7
32.25	-4.22445E-7
32.275	-3.9446E-7
32.3	-3.66476E-7
32.325	-3.38492E-7
32.35	-3.10508E-7
32.375	-2.82524E-7
32.4	-2.5454E-7
32.425	-2.26557E-7
32.45	-1.98573E-7
32.475	-1.70589E-7
32.5	-1.42605E-7
32.525	-1.1462E-7
32.55	-8.6636E-8
32.575	-5.86516E-8
32.6	-3.06672E-8
32.625	-2.68275E-9
32.65	2.1628E-8
32.675	4.04282E-8
32.7	5.92284E-8
32.725	7.80286E-8
32.75	9.68288E-8
32.775	1.15629E-7
32.8	1.34429E-7
32.825	1.63313E-7
32.85	1.92196E-7
32.875	2.21079E-7
32.9	2.49963E-7
32.925	2.78846E-7
32.95	3.0773E-7
32.975	3.02049E-7
33	2.73337E-7
33.025	2.44625E-7
33.05	2.15913E-7
33.075	1.87201E-7
33.1	1.5849E-7
33.125	1.35406E-7
33.15	1.34836E-7
33.175	1.34266E-7
33.2	1.33697E-7
33.225	1.33127E-7
33.25	1.32557E-7
33.275	1.31987E-7
33.3	1.29175E-7
33.325	1.25803E-7
33.35	1.2243E-7
33.375	1.19058E-7
33.4	1.15686E-7
33.425	1.12314E-7
33.45	1.10298E-7
33.475	1.10319E-7
33.5	1.10339E-7
33.525	1.10359E-7
33.55	1.10379E-7
33.575	1.104E-7
33.6	1.1042E-7
33.625	1.1044E-7
33.65	1.10461E-7
33.675	1.10481E-7
33.7	1.10501E-7
33.725	1.10521E-7
33.75	1.10542E-7
33.775	1.10562E-7
33.8	1.10582E-7
33.825	1.10603E-7
33.85	1.10623E-7
33.875	1.10643E-7
33.9	1.10663E-7
33.925	1.10684E-7
33.95	1.10704E-7
33.975	1.10724E-7
34	1.10745E-7
34.025	1.10765E-7
34.05	1.10785E-7
34.075	1.10805E-7
34.1	1.10826E-7
34.125	1.10846E-7
34.15	1.10866E-7
34.175	1.10887E-7
34.2	1.10907E-7
34.225	1.10927E-7
34.25	1.09167E-7
34.275	1.04736E-7
34.3	1.00305E-7
34.325	9.58736E-8
34.35	9.14425E-8
34.375	8.70114E-8
34.4	8.25803E-8
34.425	8.16658E-8
34.45	8.07513E-8
34.475	7.98368E-8
34.5	7.89223E-8
34.525	7.80078E-8
34.55	7.70933E-8
34.575	7.61789E-8
34.6	7.52644E-8
34.625	7.43499E-8
34.65	7.34354E-8
34.675	7.25209E-8
34.7	7.16064E-8
34.725	7.06919E-8
34.75	6.97774E-8
34.775	6.88629E-8
34.8	6.79485E-8
34.825	6.7034E-8
34.85	6.61195E-8
34.875	6.5205E-8
34.9	6.42905E-8
34.925	6.3376E-8
34.95	6.24615E-8
34.975	6.1547E-8
35	6.06325E-8
